No,Magnet,Position,x_shift[m],y_shift[m],z_shift[m],Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
45_1,VKICKER(2),38.019,-0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46_1,VKICKER(3),53.814,-0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47_1,VKICKER(4),164.888,-0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48_1,VKICKER(5),167.481,-0.0002,0,0,1,0,0,0,0,0,0,1.37261e-07,7.16813e-07,0,0,5.04102e-06,-0.00027022,0,0
49_1,HKICKER(1),29.842,-0.0001,0,0,1,0,0,0,0,0,0,1.73075e-07,1.14108e-06,0,0,0.000108557,-7.40065e-05,0,0
50_1,HKICKER(2),38.019,-0.0001,0,0,1,0,0,0,0,0,0,1.5866e-07,1.16773e-06,0,0,8.18343e-05,0.000380458,0,0
51_1,HKICKER(3),53.814,-0.0001,0,0,1,0,0,0,0,0,0,6.86304e-08,3.58406e-07,0,0,2.5205e-06,-0.00013511,0,0
52_1,HKICKER(4),166.185,-0.0001,0,0,1,0,0,0,0,0,0,6.86304e-08,3.58406e-07,0,0,2.5205e-06,-0.00013511,0,0
53_1,HKICKER(5),193.898,-0.0001,0,0,1,0,0,0,0,0,0,1.02304e-07,1.28234e-06,0,0,8.73275e-07,-8.90711e-05,0,0
54_1,QUADRUPOLE(1),29.335,-0.0001,0,0,1,0,0,0,0,0,0,4.59409e-07,-5.40603e-07,0,0,8.6858e-05,0.000502918,0,0
55_1,QUADRUPOLE(2),37.55,-0.0001,0,0,1,0,0,0,0,0,0,3.20695e-07,-2.66461e-08,0,0,2.70283e-05,-0.000454465,0,0
56_1,QUADRUPOLE(3),44.05,-0.0001,0,0,1,0,0,0,0,0,0,3.45492e-07,-4.32092e-07,0,0,1.56356e-05,-0.000590406,0,0
57_1,QUADRUPOLE(4),46.7195,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58_1,QUADRUPOLE(5),53.335,-0.0001,0,0,1,0,0,0,0,0,0,5.70107e-07,1.24141e-06,0,0,9.97295e-05,0.00110597,0,0
59_1,QUADRUPOLE(6),171.253,-0.0001,0,0,1,0,0,0,0,0,0,3.38154e-08,-9.23932e-07,0,0,3.39376e-06,-4.60391e-05,0,0
60_1,QUADRUPOLE(7),198.89,-0.0001,0,0,1,0,0,0,0,0,0,1.02304e-07,1.28234e-06,0,0,8.73274e-07,1.09289e-05,0,0
61_1,RBEND(1),63.022,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62_1,RBEND(2),67.288,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63_1,RBEND(3),71.554,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64_1,RBEND(4),75.82,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65_1,RBEND(5),80.086,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66_1,RBEND(6),84.352,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67_1,RBEND(7),162.625,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68_1,VKICKER(1),29.842,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69_1,VKICKER(2),38.019,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70_1,VKICKER(3),53.814,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71_1,VKICKER(4),164.888,-0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72_1,VKICKER(5),167.481,-0.0001,0,0,1,0,0,0,0,0,0,6.86304e-08,3.58406e-07,0,0,2.5205e-06,-0.00013511,0,0
73_1,HKICKER(1),29.842,0.0001,0,0,1,0,0,0,0,0,0,1.73075e-07,-1.14108e-06,0,0,0.000108557,7.40065e-05,0,0
74_1,HKICKER(2),38.019,0.0001,0,0,1,0,0,0,0,0,0,1.5866e-07,-1.16773e-06,0,0,8.18343e-05,-0.000380458,0,0
75_1,HKICKER(3),53.814,0.0001,0,0,1,0,0,0,0,0,0,6.86305e-08,-3.58406e-07,0,0,2.52051e-06,0.00013511,0,0
76_1,HKICKER(4),166.185,0.0001,0,0,1,0,0,0,0,0,0,6.86305e-08,-3.58406e-07,0,0,2.52051e-06,0.00013511,0,0
77_1,HKICKER(5),193.898,0.0001,0,0,1,0,0,0,0,0,0,1.02304e-07,-1.28234e-06,0,0,8.73275e-07,8.90711e-05,0,0
78_1,QUADRUPOLE(1),29.335,0.0001,0,0,1,0,0,0,0,0,0,4.59408e-07,5.40603e-07,0,0,8.6858e-05,-0.000502918,0,0
79_1,QUADRUPOLE(2),37.55,0.0001,0,0,1,0,0,0,0,0,0,3.20695e-07,2.66461e-08,0,0,2.70283e-05,0.000454465,0,0
80_1,QUADRUPOLE(3),44.05,0.0001,0,0,1,0,0,0,0,0,0,3.45492e-07,4.32092e-07,0,0,1.56356e-05,0.000590406,0,0
81_1,QUADRUPOLE(4),46.7195,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82_1,QUADRUPOLE(5),53.335,0.0001,0,0,1,0,0,0,0,0,0,5.70107e-07,-1.24141e-06,0,0,9.97295e-05,-0.00110597,0,0
83_1,QUADRUPOLE(6),171.253,0.0001,0,0,1,0,0,0,0,0,0,3.38154e-08,9.23932e-07,0,0,3.39376e-06,4.60391e-05,0,0
84_1,QUADRUPOLE(7),198.89,0.0001,0,0,1,0,0,0,0,0,0,1.02304e-07,-1.28234e-06,0,0,8.73273e-07,-1.09289e-05,0,0
85_1,RBEND(1),63.022,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86_1,RBEND(2),67.288,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87_1,RBEND(3),71.554,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88_1,RBEND(4),75.82,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89_1,RBEND(5),80.086,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90_1,RBEND(6),84.352,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91_1,RBEND(7),162.625,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92_1,VKICKER(1),29.842,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93_1,VKICKER(2),38.019,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94_1,VKICKER(3),53.814,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95_1,VKICKER(4),164.888,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96_1,VKICKER(5),167.481,0.0001,0,0,1,0,0,0,0,0,0,6.86305e-08,-3.58406e-07,0,0,2.52051e-06,0.00013511,0,0
97_1,HKICKER(1),29.842,0.0002,0,0,1,0,0,0,0,0,0,3.4615e-07,-2.28216e-06,0,0,0.000217113,0.000148013,0,0
98_1,HKICKER(2),38.019,0.0002,0,0,1,0,0,0,0,0,0,3.1732e-07,-2.33545e-06,0,0,0.000163669,-0.000760916,0,0
99_1,HKICKER(3),53.814,0.0002,0,0,1,0,0,0,0,0,0,1.37261e-07,-7.16813e-07,0,0,5.04102e-06,0.00027022,0,0
100_1,HKICKER(4),166.185,0.0002,0,0,1,0,0,0,0,0,0,1.37261e-07,-7.16813e-07,0,0,5.04102e-06,0.00027022,0,0
101_1,HKICKER(5),193.898,0.0002,0,0,1,0,0,0,0,0,0,2.04607e-07,-2.56468e-06,0,0,1.74654e-06,0.000178142,0,0
102_1,QUADRUPOLE(1),29.335,0.0002,0,0,1,0,0,0,0,0,0,9.18817e-07,1.08121e-06,0,0,0.000173716,-0.00100584,0,0
103_1,QUADRUPOLE(2),37.55,0.0002,0,0,1,0,0,0,0,0,0,6.4139e-07,5.32923e-08,0,0,5.40567e-05,0.000908929,0,0
104_1,QUADRUPOLE(3),44.05,0.0002,0,0,1,0,0,0,0,0,0,6.90984e-07,8.64184e-07,0,0,3.12711e-05,0.00118081,0,0
105_1,QUADRUPOLE(4),46.7195,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106_1,QUADRUPOLE(5),53.335,0.0002,0,0,1,0,0,0,0,0,0,1.14021e-06,-2.48282e-06,0,0,0.000199459,-0.00221195,0,0
107_1,QUADRUPOLE(6),171.253,0.0002,0,0,1,0,0,0,0,0,0,6.76308e-08,1.84786e-06,0,0,6.78753e-06,9.20782e-05,0,0
108_1,QUADRUPOLE(7),198.89,0.0002,0,0,1,0,0,0,0,0,0,2.04607e-07,-2.56468e-06,0,0,1.74655e-06,-2.18577e-05,0,0
109_1,RBEND(1),63.022,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110_1,RBEND(2),67.288,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111_1,RBEND(3),71.554,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112_1,RBEND(4),75.82,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_1,RBEND(5),80.086,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114_1,RBEND(6),84.352,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115_1,RBEND(7),162.625,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
